ConfYear,ConfLocation,ConfDivision,ChoirTitle,ChoirType,CondFName1,CondMName1,CondLName1,CondFName2,CondMName2,CondLName2,School/Org,City1,State/Provience,Country,ChDivision,CondGender1,CondGender2,ChDistance,HBCU,GALA
1960,"Atlantic City, NJ",E,University of Delaware Concert Choir,College,Ivan,,Trusler,,,,University of Delaware,Newark,DE,U.S.,E,m,,99,,
1960,"Atlantic City, NJ",E,"William Murrah Singers, the",High School,William,,Herring,,,,William B. Murrah High School,Jackson,MS,U.S.,S,m,,1169,,
1960,"Atlantic City, NJ",E,Atlantic City High School Choir,High School,Elsie,,Mecaskie,,,,Atlantic City High School,Atlantic City,NJ,U.S.,E,f,,0,,
1960,"Atlantic City, NJ",E,"Choralettes, the",High School,Walter,,Ehret,,,,Scarsdale High School,Scarsdale,NY,U.S.,E,m,,150,,
1960,"Atlantic City, NJ",E,Singing City Choir,Community,Elaine,,Brown,,,,,Philadelphia,PA,U.S.,E,f,,62,,
1960,"Atlantic City, NJ",E,Upper Darby High School Choir,High School,Clyde,,Dengler,,,,Upper Darby High School,Upper Darby,PA,U.S.,E,m,,72,,
1961,"Columbus, OH",MW,University of Illinois Women's Glee Club,College,Russell,,Mathis,,,,University of Illinois,Urbana,IL,U.S.,C,m,,295,,
1961,"Columbus, OH",MW,Indiana University Madrigal Singers,College,Hugh,,Johnson,,,,Indiana University,Bloomington,IN,U.S.,C,m,,225,,
1961,"Columbus, OH",MW,Saint Cloud State College Concert Choir,College,Harvey,,Waugh,,,,Saint Cloud State College,Saint Cloud,MN,U.S.,NC,m,,829,,
1961,"Columbus, OH",MW,Ohio State University Symphonic Choir,College,Louis,,Diercks,,,,Ohio State University,Columbus,OH,U.S.,C,m,,0,,
1961,"Columbus, OH",MW,Heidelberg College Choir,College,Ferris,,Ohl,,,,Heidelberg College,Tiffin,OH,U.S.,C,m,,90,,
1961,"Columbus, OH",MW,Lima High School Choir,High School,Ron,,Richards,,,,Lima High School,Lima,OH,U.S.,C,m,,93,,
1961,"Columbus, OH",MW,Columbus North High Senior Choir,High School,Evelyn,,Ross,,,,Columbus North High School,Columbus,OH,U.S.,C,f,,0,,
1962,"Chicago, IL",MW,University of Colorado Modern Choir,College,Warner,,Imig,,,,University of Colorado,Boulder,CO,U.S.,SW,m,,1019,,
1962,"Chicago, IL",MW,University of Illinois Concert Choir,College,Harold,,Decker,,,,University of Illinois,Urbana-Champaign,IL,U.S.,C,m,,136,,
